29,24,18,24
24,18,24,29
18,24,29,21
24,29,21,14
29,21,14,18
21,14,18,17
14,18,17,17
18,17,17,21
17,17,21,26
17,21,26,28
21,26,28,22
26,28,22,21
28,22,21,24
22,21,24,29
21,24,29,33
24,29,33,34
29,33,34,38
33,34,38,35
34,38,35,30
38,35,30,32
35,30,32,32
30,32,32,32
32,32,32,29
32,32,29,30
32,29,30,31
29,30,31,25
30,31,25,31
31,25,31,34
25,31,34,30
31,34,30,32
34,30,32,32
30,32,32,32
32,32,32,35
32,32,35,39
32,35,39,41
35,39,41,41
39,41,41,41
41,41,41,47
41,41,47,59
41,47,59,60
47,59,60,51
59,60,51,42
60,51,42,49
51,42,49,49
42,49,49,41
49,49,41,42
49,41,42,42
41,42,42,40
42,42,40,38
42,40,38,36
40,38,36,31
38,36,31,34
36,31,34,44
31,34,44,44
34,44,44,34
44,44,34,29
44,34,29,26
34,29,26,20
29,26,20,19
26,20,19,19
20,19,19,21
19,19,21,24
19,21,24,15
21,24,15,8
24,15,8,15
15,8,15,25
8,15,25,25
15,25,25,19
25,25,19,16
25,19,16,15
19,16,15,15
16,15,15,15
15,15,15,17
15,15,17,21
15,17,21,18
17,21,18,10
21,18,10,8
18,10,8,18
10,8,18,29
8,18,29,43
18,29,43,34
29,43,34,15
43,34,15,14
34,15,14,17
15,14,17,18
14,17,18,22
17,18,22,34
18,22,34,32
22,34,32,28
34,32,28,31
32,28,31,30
28,31,30,29
31,30,29,26
30,29,26,27
29,26,27,25
26,27,25,25
27,25,25,31
25,25,31,30
25,31,30,29
31,30,29,35
30,29,35,54
29,35,54,53
33,31,38,42
31,38,42,34
38,42,34,39
42,34,39,43
34,39,43,40
39,43,40,36
43,40,36,30
40,36,30,36
36,30,36,38
30,36,38,32
36,38,32,34
38,32,34,43
32,34,43,54
34,43,54,51
43,54,51,39
54,51,39,37
51,39,37,37
39,37,37,38
37,37,38,55
37,38,55,77
38,55,77,81
55,77,81,78
77,81,78,74
81,78,74,69
78,74,69,67
74,69,67,66
69,67,66,67
67,66,67,69
66,67,69,77
67,69,77,79
69,77,79,76
77,79,76,67
79,76,67,58
76,67,58,55
67,58,55,50
58,55,50,49
55,50,49,41
50,49,41,34
49,41,34,35
41,34,35,29
34,35,29,28
35,29,28,29
29,28,29,33
28,29,33,44
29,33,44,43
33,44,43,39
44,43,39,40
43,39,40,39
39,40,39,48
40,39,48,52
